competitor_place_id,competitor_name,included,exclusion_reason
ChIJvVPxDGM3Xj4R3D2HRdnlzj0,Veneto Spa Men center,False,MEN_OR_BARBER
ChIJP8oGlEtRXj4RHrnakTIgVlA,Super Oasis gents spa,False,MEN_OR_BARBER
ChIJTyp94lNtXz4RP_0_p6gNwIE,Top View Spa,True,
ChIJcVGtLXNtXz4Rtx8Yct-WzcA,Sun Shine Spa,True,
ChIJ_5X8R2VdXz4ROt1e0h_Rehw,Amity Spa,True,
ChIJ8ZJFzQJBXj4RwxToWqY6JAY,MAX BURN GYM Body Building Club,False,FITNESS_OR_SPORTS
ChIJ2dOYog5tXz4RNRXxxhUcw4E,Cloud Elite European SPA,True,
ChIJk-Jadx1tXz4RSBAGD3vusJU,Mayflower Spa and Massage,True,
ChIJQfe_D4lFXj4R6bFufgR02Nk,AWAY Spa at W Abu Dhabi - Yas Island,True,
ChIJBeek2ukFXz4RycPQXJkO3Mw,Happy Valley Khalifa City,True,
ChIJ0_0jx0lOXj4RtxJb7UouR58,Deerfields Gents Center &spa,False,MEN_OR_BARBER
ChIJ8a0pd-BnXz4RMV_y_aRIu5E,NEW THAI PHYSIOTHERAPY CENTER EST. (FOOT SPA),True,
ChIJO6RiBlivij4RsefYxNdYGIU,Paragon Spa for Men,False,MEN_OR_BARBER
ChIJt78xX05DXj4RpXeSo0eeM9c,De Bene Esse European Spa & Massage,True,
ChIJB2nvo2oxXj4RUu7lKF5LiOI,National Men's Spa | Best SPA in Abu Dhabi,False,MEN_OR_BARBER
ChIJze1cNQVHXj4Rkp70tAIz8zg,Rimal Spa,True,
ChIJf6P5UgA3Xj4Rk21DYq5OBYQ,Dream Garden SPA Baniyas,True,
ChIJKVBp9In49D4Rz_9bK-hDUuA,Magic Fingers Ayurveda Wellness Centre,True,
ChIJV0YgnyRfXz4RC14mubqOCiE,Royal Spa,True,
ChIJL6IVBwBDXj4RKSjCPwqCyAc,Water spa,True,
ChIJKzWcpkP49D4R1FFrodVbwPU,"AyurRaha Ayurveda Center, AYURVEDA Physical Therapy",False,FITNESS_OR_SPORTS
ChIJr9EK9MxtXz4ROoqks9aGM7o,Sweet Rose Spa Massage Center,True,
ChIJ4wDUsJ1nXz4RQeSuACtOaSE,aweer massage center,True,
