official_store_id,branch_name,branch_google_place_id,branch_latitude,branch_longitude,competitor_place_id,competitor_name,competitor_tier,straight_line_distance_km,search_radius_km,source,retrieved_at
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJz2y9eACxij4RsbndWqEjBRc,Need Spa & Dalkah House,DIRECT,3.5349,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJu34BNYyxij4RotZtIy2lDLw,مركز الرغوة الناعمة,DIRECT,3.6743,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJFSNK1MOzij4RQf8QpfrN95E,Base beauty and spa,DIRECT,3.7056,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ7ZcjXACxij4Rp1-jfjC1aBo,الأناقة,DIRECT,3.7602,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ6Vqaz22zij4RXNfJYsXsWJA,Most glam ladies salon,DIRECT,3.9202,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJp-3AC5Sxij4RtDixqNw1tow,روج البنفسج لتجميل السيدات,DIRECT,3.9638,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJj5pu4Jmvij4R8VxjaZq3GhM,City saloon tawam,DIRECT,3.988,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJE5gFvtKzij4R686ZJdYDvBM,Salon Reem Al Bawadi,DIRECT,3.9918,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJzQADgQ-zij4R4zEDCBluHu8,Kristal beauty salon,ADJACENT,4.0144,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJpxOOGEuzij4RuKvHVHiPZDk,Madhah Hair Cutting Saloon,DIRECT,4.0866,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJGY_KeQCzij4RqsPrFl-0GpM,Viorica Ladies Beauty Centre,DIRECT,4.4272,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJL9iC5tizij4RuyXvlC7IdFo,Addis Ababa salon,DIRECT,4.4649,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJaRyRTE-xij4ROKfEGjuBN00,The Space Beauty Lounge Al Ain,DIRECT,4.7263,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ1VSBXQCxij4RNQaz7fTMu2M,صالون تجميل خدمات منزلية,DIRECT,4.7829,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJHYmgppuxij4RKP9R7btrgyE,مركز داماس للحناء و تجميل السيدات Damas Henna & Beauty Center,DIRECT,4.7843,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJb5yGfgCxij4Rpc-SpgGqT6c,صالون رحاب بيوتي,DIRECT,4.7962,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJhWHkbROzij4R3nbF40YZU9s,La Bela Princino Beauty Center,DIRECT,4.9389,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJ7SYyfihrXz4RXLClE0wn5Fs,Leilani Beauty Lounge,DIRECT,0.2944,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJ4aywXGBrXz4RpFwHB73Aab0,Svan Star Spa Massage Al Barsha,ADJACENT,0.3198,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJF_QsY9xrXz4Rgtxfhf0VJr8,Angsana Spa,ADJACENT,0.3631,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJUeiUt95tXz4Rem3ynVPA2CM,Nailsbyzinovic,DIRECT,0.4558,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJ_d4g4-lrXz4RtpM9Wz9xhsc,Tips and Toes,DIRECT,0.4674,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJxzuOSxFDXz4RT0-2SD8fcZg,Blue River Massage,ADJACENT,0.4725,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJAc2mBNVrXz4R4eKQ2a-yvLA,March14 Dubai Beauty Residence,DIRECT,0.8437,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,25.1131451,55.2156092,ChIJj95Qj1VrXz4RO7TXi8TL814,Kimia Salon Dubai | Hair color | Balayage | Hair extensions | Nails,DIRECT,0.8815,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
